"UF","nome","PIB","Pop_est_2009","PIB_percapita","v0002_codigo_do_municipio","educação sem instrução","pobreza","renda"
"PIAUÍ","Monsenhor Gil",44702.359375,10639,4201.74023438,2206407,73.88832029610772,63.901614992143635,1152.1715941574926
"BAHIA","Caturama",26457,8713,3036.5,2907558,80.3585945938244,67.93514277376723,925.8383705421429
"MINAS GERAIS","Carandaí",286908.25,23286,12321.05957031,3113206,64.26832182627568,40.40130330295483,1742.0220704931094
"PARAÍBA","São José do Brejo do Cruz",8949.33886719,1707,5242.72998047,2514651,77.89935969917815,70.08019951081013,1028.5503174088035
"GOIÁS","Planaltina",376268.8125,79651,4723.97021484,5217609,66.53349411033075,38.055641462643024,1822.2348126217066
"PARANÁ","Itaúna do Sul",27650.56640625,3621,7636.16992188,4111308,70.29060211996902,32.16042287032466,1597.648279792541
"MINAS GERAIS","Dores de Guanhães",28126.56054688,5751,4890.72998047,3123106,76.57356134206913,53.86998074165169,1261.041261433228
"RIO DE JANEIRO","Macuco",80818.03125,5626,14365.09960938,3302452,61.784660606781756,36.598331840278355,1888.3174450826186
"MINAS GERAIS","Conceição das Alagoas",493776.125,21938,22507.80078125,3117306,66.13471982100017,23.76788735782852,2647.244513535101
"SANTA CATARINA","São Bernardino",41336.984375,2633,15699.58007812,4215752,71.82164074971028,38.442657073935855,1655.0843357955905
"BAHIA","Elísio Medrado",30162.81640625,8183,3686.0300293,2910305,75.384683364535,58.577857607419645,1066.9734131177493
"MINAS GERAIS","Montes Claros",3815101.25,363227,10503.34960938,3143302,49.801123526214504,34.625128892747625,2386.093409474349
"ALAGOAS","Igaci",81381.578125,25865,3146.39990234,2703106,81.35050907283046,72.47437431044621,855.1306574975093
"PARAÍBA","São João do Cariri",21729.8828125,4563,4762.18994141,2514008,73.45180994067043,54.66877972134364,1531.5133510388214
"MINAS GERAIS","Santa Rita de Jacutinga",49552.31640625,5869,8443.05957031,3159308,68.45485159517611,33.621367902638866,1683.2848470918775
